               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  82,            0.029833,           0.0089411,                   0,             0.99833,                   1,               0.995,              0.7974,            0.012079,           0.0032213,                   0,           0.0059905,           0.0059905,           0.0059905
                  83,            0.027631,           0.0078623,                   0,             0.99852,                   1,               0.995,             0.91304,           0.0060959,           0.0029471,                   0,            0.005941,            0.005941,            0.005941
                  84,            0.031507,           0.0077242,                   0,             0.99856,                   1,               0.995,             0.85011,            0.012727,           0.0032515,                   0,           0.0058915,           0.0058915,           0.0058915
                  85,            0.016331,           0.0063881,                   0,             0.99862,                   1,               0.995,             0.90684,            0.006554,           0.0033787,                   0,            0.005842,            0.005842,            0.005842
                  86,            0.032244,           0.0080932,                   0,              0.9988,                   1,               0.995,             0.86142,            0.010532,           0.0031208,                   0,           0.0057925,           0.0057925,           0.0057925
                  87,            0.022455,           0.0078935,                   0,             0.99886,                   1,               0.995,             0.94388,           0.0077882,           0.0030491,                   0,            0.005743,            0.005743,            0.005743
                  88,            0.022027,           0.0071831,                   0,             0.99895,                   1,               0.995,             0.87635,           0.0096824,            0.003209,                   0,           0.0056935,           0.0056935,           0.0056935
                  89,            0.017328,           0.0064694,                   0,             0.99894,                   1,               0.995,             0.88702,            0.010476,           0.0032359,                   0,            0.005644,            0.005644,            0.005644
                  90,            0.022476,           0.0070184,                   0,             0.99896,                   1,               0.995,             0.92294,           0.0066562,           0.0028973,                   0,           0.0055945,           0.0055945,           0.0055945
                  91,            0.027513,            0.007408,                   0,             0.99898,                   1,               0.995,              0.9464,           0.0064583,           0.0030329,                   0,            0.005545,            0.005545,            0.005545
                  92,            0.015749,           0.0072485,                   0,               0.999,                   1,               0.995,             0.90678,           0.0087413,           0.0029283,                   0,           0.0054955,           0.0054955,           0.0054955
                  93,             0.02368,           0.0065714,                   0,               0.999,                   1,               0.995,             0.90112,           0.0078449,           0.0028885,                   0,            0.005446,            0.005446,            0.005446
                  94,            0.034624,            0.007504,                   0,               0.999,                   1,               0.995,             0.93747,           0.0090404,           0.0028211,                   0,           0.0053965,           0.0053965,           0.0053965
                  95,            0.028598,           0.0073327,                   0,               0.999,                   1,               0.995,              0.8793,           0.0080318,           0.0033527,                   0,            0.005347,            0.005347,            0.005347
                  96,            0.027575,           0.0079647,                   0,             0.99898,                   1,               0.995,             0.94697,            0.010785,           0.0027225,                   0,           0.0052975,           0.0052975,           0.0052975
                  97,            0.030506,           0.0079014,                   0,             0.99899,                   1,               0.995,              0.8908,           0.0083757,           0.0028342,                   0,            0.005248,            0.005248,            0.005248
                  98,             0.03076,           0.0061959,                   0,             0.99898,                   1,               0.995,             0.90049,            0.011645,           0.0029375,                   0,           0.0051985,           0.0051985,           0.0051985
                  99,            0.025147,           0.0083121,                   0,             0.99897,                   1,               0.995,              0.9273,           0.0047468,           0.0026862,                   0,            0.005149,            0.005149,            0.005149
                 100,            0.017646,           0.0071318,                   0,             0.99898,                   1,               0.995,             0.89189,             0.01282,           0.0032982,                   0,           0.0050995,           0.0050995,           0.0050995
                 101,            0.036432,            0.007848,                   0,             0.99898,                   1,               0.995,             0.86315,           0.0065603,           0.0032732,                   0,             0.00505,             0.00505,             0.00505
                 102,            0.036768,           0.0081641,                   0,             0.99896,                   1,               0.995,             0.92581,            0.008059,           0.0028958,                   0,           0.0050005,           0.0050005,           0.0050005
                 103,            0.017798,           0.0079745,                   0,             0.99896,                   1,               0.995,             0.91579,           0.0081296,           0.0027118,                   0,            0.004951,            0.004951,            0.004951
                 104,            0.031129,           0.0074156,                   0,             0.99898,                   1,               0.995,             0.94646,           0.0070528,           0.0027653,                   0,           0.0049015,           0.0049015,           0.0049015
                 105,            0.021361,           0.0069416,                   0,             0.99897,                   1,               0.995,              0.9121,           0.0078186,           0.0027336,                   0,            0.004852,            0.004852,            0.004852
                 106,            0.023656,           0.0064393,                   0,             0.99897,                   1,               0.995,             0.86419,            0.010642,           0.0030298,                   0,           0.0048025,           0.0048025,           0.0048025
                 107,            0.024589,           0.0069706,                   0,             0.99893,                   1,               0.995,             0.93348,            0.004738,           0.0026081,                   0,            0.004753,            0.004753,            0.004753
                 108,            0.022175,           0.0073429,                   0,              0.9989,                   1,               0.995,             0.91503,           0.0087479,           0.0027851,                   0,           0.0047035,           0.0047035,           0.0047035
                 109,            0.025773,           0.0064834,                   0,             0.99892,                   1,               0.995,             0.92173,           0.0062076,           0.0027253,                   0,            0.004654,            0.004654,            0.004654
                 110,             0.01334,           0.0070649,                   0,             0.99889,                   1,               0.995,             0.93767,           0.0073475,           0.0026251,                   0,           0.0046045,           0.0046045,           0.0046045
                 111,            0.019294,           0.0065788,                   0,             0.99891,                   1,               0.995,             0.91325,           0.0061227,           0.0026903,                   0,            0.004555,            0.004555,            0.004555
                 112,            0.024376,           0.0072533,                   0,             0.99884,                   1,               0.995,             0.95582,           0.0081278,           0.0027514,                   0,           0.0045055,           0.0045055,           0.0045055
                 113,            0.023092,           0.0068145,                   0,             0.99877,                   1,               0.995,             0.90814,           0.0056576,            0.002734,                   0,            0.004456,            0.004456,            0.004456
                 114,            0.028692,             0.00667,                   0,             0.99889,                   1,               0.995,             0.90677,           0.0087497,           0.0028093,                   0,           0.0044065,           0.0044065,           0.0044065
                 115,            0.035023,           0.0072186,                   0,             0.99892,                   1,               0.995,             0.91547,           0.0054245,           0.0026836,                   0,            0.004357,            0.004357,            0.004357
                 116,            0.011998,           0.0057663,                   0,             0.99898,                   1,               0.995,             0.95234,           0.0086754,           0.0025765,                   0,           0.0043075,           0.0043075,           0.0043075
                 117,            0.032454,           0.0072851,                   0,             0.99901,                   1,               0.995,             0.91556,            0.005426,           0.0026016,                   0,            0.004258,            0.004258,            0.004258
                 118,            0.032653,           0.0080831,                   0,             0.99902,                   1,               0.995,             0.95542,           0.0060541,           0.0025002,                   0,           0.0042085,           0.0042085,           0.0042085
                 119,            0.019028,           0.0061267,                   0,             0.99903,                   1,               0.995,              0.8655,           0.0083035,           0.0027253,                   0,            0.004159,            0.004159,            0.004159
                 120,            0.017205,            0.006479,                   0,             0.99902,                   1,               0.995,             0.94083,           0.0050663,           0.0023114,                   0,           0.0041095,           0.0041095,           0.0041095
                 121,            0.019235,           0.0068514,                   0,             0.99902,                   1,               0.995,             0.91067,           0.0058645,           0.0024896,                   0,             0.00406,             0.00406,             0.00406
                 122,            0.018144,           0.0069433,                   0,             0.99902,                   1,               0.995,             0.91887,           0.0070428,           0.0026047,                   0,           0.0040105,           0.0040105,           0.0040105
                 123,            0.031799,           0.0075164,                   0,             0.99902,                   1,               0.995,             0.93511,            0.004718,           0.0023447,                   0,            0.003961,            0.003961,            0.003961
                 124,            0.022481,           0.0066662,                   0,             0.99903,                   1,               0.995,             0.93831,            0.005094,           0.0024694,                   0,           0.0039115,           0.0039115,           0.0039115
                 125,            0.016538,           0.0055127,                   0,             0.99904,                   1,               0.995,             0.92626,           0.0077627,           0.0027132,                   0,            0.003862,            0.003862,            0.003862
                 126,            0.027198,           0.0063536,                   0,             0.99903,                   1,               0.995,             0.91742,           0.0045108,           0.0024728,                   0,           0.0038125,           0.0038125,           0.0038125
                 127,            0.021038,           0.0059828,                   0,             0.99904,                   1,               0.995,             0.95649,           0.0054342,           0.0024956,                   0,            0.003763,            0.003763,            0.003763
                 128,            0.027159,            0.006864,                   0,             0.99903,                   1,               0.995,             0.90956,           0.0062976,           0.0025629,                   0,           0.0037135,           0.0037135,           0.0037135
                 129,            0.020363,           0.0062087,                   0,             0.99904,                   1,               0.995,             0.94789,           0.0050331,           0.0025763,                   0,            0.003664,            0.003664,            0.003664
                 130,              0.0294,           0.0065963,                   0,             0.99905,                   1,               0.995,              0.9033,           0.0062199,           0.0025796,                   0,           0.0036145,           0.0036145,           0.0036145
                 131,            0.030668,           0.0055825,                   0,             0.99904,                   1,               0.995,             0.95668,           0.0062681,           0.0027663,                   0,            0.003565,            0.003565,            0.003565
                 132,            0.025548,           0.0060737,                   0,             0.99903,                   1,               0.995,             0.93819,           0.0059667,           0.0026064,                   0,           0.0035155,           0.0035155,           0.0035155
                 133,            0.025379,           0.0056797,                   0,             0.99903,                   1,               0.995,             0.95578,           0.0049934,           0.0025973,                   0,            0.003466,            0.003466,            0.003466
                 134,            0.016021,           0.0063896,                   0,             0.99903,                   1,               0.995,             0.89455,           0.0060696,           0.0027273,                   0,           0.0034165,           0.0034165,           0.0034165
                 135,            0.026869,           0.0069032,                   0,             0.99901,                   1,               0.995,             0.92149,           0.0048877,           0.0025123,                   0,            0.003367,            0.003367,            0.003367
                 136,            0.024421,           0.0063459,                   0,             0.99899,                   1,               0.995,             0.91393,           0.0071811,           0.0027347,                   0,           0.0033175,           0.0033175,           0.0033175
                 137,             0.02083,           0.0064441,                   0,               0.999,                   1,               0.995,             0.94649,           0.0045191,           0.0025838,                   0,            0.003268,            0.003268,            0.003268
                 138,            0.017395,           0.0062484,                   0,             0.99893,                   1,               0.995,             0.93005,           0.0055212,           0.0026423,                   0,           0.0032185,           0.0032185,           0.0032185
                 139,            0.029162,           0.0065234,                   0,             0.99894,                   1,               0.995,             0.93597,           0.0068289,           0.0025264,                   0,            0.003169,            0.003169,            0.003169
                 140,            0.027917,           0.0071656,                   0,              0.9989,                   1,               0.995,             0.95419,           0.0047061,           0.0024707,                   0,           0.0031195,           0.0031195,           0.0031195
                 141,            0.017983,           0.0061659,                   0,             0.99892,                   1,               0.995,             0.90853,           0.0074727,           0.0027614,                   0,             0.00307,             0.00307,             0.00307
                 142,            0.020342,           0.0075789,                   0,             0.99894,                   1,               0.995,             0.95239,           0.0045295,           0.0025564,                   0,           0.0030205,           0.0030205,           0.0030205
                 143,            0.021654,           0.0076117,                   0,             0.99895,                   1,               0.995,             0.94844,           0.0040478,            0.002518,                   0,            0.002971,            0.002971,            0.002971
                 144,            0.018896,           0.0056853,                   0,             0.99894,                   1,               0.995,             0.95331,           0.0050082,           0.0026758,                   0,           0.0029215,           0.0029215,           0.0029215
                 145,            0.020885,           0.0055684,                   0,             0.99896,                   1,               0.995,             0.92387,           0.0060408,           0.0025509,                   0,            0.002872,            0.002872,            0.002872
                 146,            0.015835,           0.0064881,                   0,             0.99894,                   1,               0.995,             0.96569,            0.004489,           0.0024308,                   0,           0.0028225,           0.0028225,           0.0028225
                 147,            0.018914,           0.0055759,                   0,             0.99897,                   1,               0.995,             0.94231,             0.00424,           0.0024424,                   0,            0.002773,            0.002773,            0.002773
                 148,            0.021025,           0.0067788,                   0,             0.99898,                   1,               0.995,             0.96581,           0.0046224,           0.0025333,                   0,           0.0027235,           0.0027235,           0.0027235
                 149,            0.017467,           0.0064102,                   0,             0.99899,                   1,               0.995,             0.96448,           0.0049418,           0.0026151,                   0,            0.002674,            0.002674,            0.002674
                 150,            0.014549,           0.0061724,                   0,             0.99899,                   1,               0.995,             0.96499,           0.0038875,           0.0023592,                   0,           0.0026245,           0.0026245,           0.0026245
                 151,            0.016617,           0.0052782,                   0,             0.99903,                   1,               0.995,             0.94964,             0.00599,           0.0025046,                   0,            0.002575,            0.002575,            0.002575
                 152,            0.013191,           0.0053741,                   0,             0.99904,                   1,               0.995,             0.95231,           0.0046111,           0.0025393,                   0,           0.0025255,           0.0025255,           0.0025255
                 153,            0.014463,           0.0053499,                   0,             0.99904,                   1,               0.995,             0.96998,           0.0041653,           0.0023834,                   0,            0.002476,            0.002476,            0.002476
                 154,             0.01755,           0.0059539,                   0,             0.99904,                   1,               0.995,             0.95538,           0.0043056,           0.0024206,                   0,           0.0024265,           0.0024265,           0.0024265
                 155,            0.014917,            0.005564,                   0,             0.99905,                   1,               0.995,             0.96655,           0.0045233,           0.0023737,                   0,            0.002377,            0.002377,            0.002377
                 156,            0.027547,           0.0062311,                   0,             0.99907,                   1,               0.995,             0.97164,           0.0041663,           0.0023306,                   0,           0.0023275,           0.0023275,           0.0023275
                 157,            0.018592,           0.0073986,                   0,             0.99907,                   1,               0.995,             0.96347,            0.004475,           0.0023213,                   0,            0.002278,            0.002278,            0.002278
                 158,            0.018144,           0.0065793,                   0,             0.99908,                   1,               0.995,             0.96695,           0.0041102,           0.0023322,                   0,           0.0022285,           0.0022285,           0.0022285
                 159,            0.018849,           0.0056529,                   0,             0.99908,                   1,               0.995,             0.95608,           0.0041388,           0.0023867,                   0,            0.002179,            0.002179,            0.002179
                 160,             0.02131,           0.0060242,                   0,             0.99908,                   1,               0.995,             0.96362,           0.0038108,           0.0022594,                   0,           0.0021295,           0.0021295,           0.0021295
                 161,             0.01704,           0.0070683,                   0,             0.99909,                   1,               0.995,             0.94719,           0.0039611,           0.0023278,                   0,             0.00208,             0.00208,             0.00208
                 162,            0.017395,           0.0050358,                   0,             0.99908,                   1,               0.995,             0.96881,           0.0041256,           0.0022862,                   0,           0.0020305,           0.0020305,           0.0020305
                 163,            0.015562,           0.0057301,                   0,             0.99908,                   1,               0.995,             0.95404,           0.0039216,           0.0022601,                   0,            0.001981,            0.001981,            0.001981
                 164,            0.015897,            0.006145,                   0,             0.99908,                   1,               0.995,             0.96398,           0.0034107,           0.0021687,                   0,           0.0019315,           0.0019315,           0.0019315
                 165,             0.01407,           0.0062955,                   0,             0.99908,                   1,               0.995,             0.96942,           0.0036341,            0.002256,                   0,            0.001882,            0.001882,            0.001882
                 166,             0.02143,           0.0065019,                   0,             0.99909,                   1,               0.995,             0.95935,           0.0036837,           0.0022723,                   0,           0.0018325,           0.0018325,           0.0018325
