               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  79,            0.020638,           0.0049362,                   0,             0.99165,             0.99623,             0.99485,             0.82619,            0.014484,           0.0021697,                   0,            0.006139,            0.006139,            0.006139
                  80,            0.018895,           0.0044354,                   0,             0.99622,             0.99361,               0.995,             0.83559,            0.014067,           0.0021688,                   0,           0.0060895,           0.0060895,           0.0060895
                  81,            0.019558,           0.0044836,                   0,             0.99575,                   1,             0.99496,             0.82907,            0.014326,           0.0022109,                   0,             0.00604,             0.00604,             0.00604
                  82,            0.018524,           0.0041924,                   0,             0.99542,                   1,               0.995,             0.82882,            0.014725,           0.0021402,                   0,           0.0059905,           0.0059905,           0.0059905
                  83,            0.019287,           0.0048306,                   0,             0.99244,             0.99108,             0.99492,             0.84623,            0.013532,            0.002068,                   0,            0.005941,            0.005941,            0.005941
                  84,            0.020008,           0.0044785,                   0,              0.9925,             0.99869,               0.995,             0.82192,            0.015079,           0.0021686,                   0,           0.0058915,           0.0058915,           0.0058915
                  85,            0.019693,           0.0046854,                   0,             0.99797,             0.99623,               0.995,             0.84759,            0.013654,           0.0021003,                   0,            0.005842,            0.005842,            0.005842
                  86,            0.019011,            0.004239,                   0,             0.99941,                   1,               0.995,             0.82517,            0.014878,           0.0021636,                   0,           0.0057925,           0.0057925,           0.0057925
                  87,            0.018559,           0.0044815,                   0,             0.99928,                   1,               0.995,             0.84262,            0.013369,           0.0020562,                   0,            0.005743,            0.005743,            0.005743
                  88,            0.019372,           0.0042781,                   0,             0.99955,                   1,               0.995,             0.86206,            0.012659,           0.0020545,                   0,           0.0056935,           0.0056935,           0.0056935
                  89,            0.019591,           0.0044583,                   0,                   1,             0.99982,               0.995,              0.8366,            0.014432,           0.0021317,                   0,            0.005644,            0.005644,            0.005644
                  90,            0.018966,           0.0043741,                   0,             0.99954,                   1,               0.995,             0.85772,            0.013078,           0.0021165,                   0,           0.0055945,           0.0055945,           0.0055945
                  91,            0.019451,           0.0041112,                   0,             0.99941,                   1,               0.995,              0.8425,            0.014144,           0.0021234,                   0,            0.005545,            0.005545,            0.005545
                  92,            0.018327,           0.0044165,                   0,             0.99904,                   1,               0.995,             0.85968,            0.012968,           0.0020176,                   0,           0.0054955,           0.0054955,           0.0054955
                  93,            0.017733,           0.0046468,                   0,             0.99916,                   1,               0.995,             0.86458,            0.012714,           0.0019732,                   0,            0.005446,            0.005446,            0.005446
                  94,            0.017037,           0.0040838,                   0,             0.99576,                   1,               0.995,             0.85635,               0.014,           0.0020172,                   0,           0.0053965,           0.0053965,           0.0053965
